domanda,risposta
Il Padre Nostro cambia a seconda delle lingue? ,VERO
Giovanni Paolo II ha cambiato il Padre Nostro? ,FALSO
Il Padre Nostro è riportato nei vangeli? ,VERO
Il Padre Nostro è riportato nel vangelo di Luca? ,VERO
Il nuovo Padre Nostro recita: non abbandonarci alla tentazione?,VERO
Nell'ultima cena erano in 12 a tavola?,FALSO
Il primo miracolo è stato la moltiplicazione dei pani e dei pesci?,FALSO
Gesù è caduto 3 volte sul calvario?,VERO
All'ultima cena erano in 12? ,FALSO
Sono 16 le stazioni della via crucis? ,FALSO
Sotto la croce dopo la morte di Gesù erano in 3?,FALSO
Gesù a Gerusalemme entra su un cavallo?,FALSO
I vangeli sono 5?, FALSO
